strategy,kill_frac,seed,coverage,detection,mission_time
centralized,0.75,200,0.413094152224587,0.43333333333333335,-1
centralized,0.75,201,0.7858518293300902,0.8,-1
centralized,0.75,202,0.4527307731279765,0.4666666666666667,-1
centralized,0.75,203,0.38555927390731165,0.4666666666666667,-1
centralized,0.75,204,0.670487978086639,0.7333333333333333,-1
centralized,0.75,205,0.7466274470027386,0.8333333333333334,-1
centralized,0.75,206,0.22483527622909275,0.26666666666666666,-1
centralized,0.75,207,0.3185733103657919,0.5,-1
centralized,0.75,208,0.5090706395054221,0.43333333333333335,-1
centralized,0.75,209,0.7910251215559158,0.8333333333333334,-1
decentralized,0.75,200,0.6652477956825783,0.6333333333333333,-1
decentralized,0.75,201,0.7194689368602412,0.6666666666666666,-1
decentralized,0.75,202,0.4515148444624582,0.6,-1
decentralized,0.75,203,0.5296623060541528,0.5333333333333333,-1
decentralized,0.75,204,0.7978086638936797,0.8666666666666667,-1
decentralized,0.75,205,0.7368901511309464,0.7333333333333333,-1
decentralized,0.75,206,0.7010643689812468,0.5666666666666667,-1
decentralized,0.75,207,0.8268314925524369,0.8,-1
decentralized,0.75,208,0.3752913752913753,0.43333333333333335,-1
decentralized,0.75,209,0.7641815235008104,0.8333333333333334,-1
stigmergy,0.75,200,0.28397689267254483,0.36666666666666664,-1
stigmergy,0.75,201,0.30394243437721696,0.26666666666666666,-1
stigmergy,0.75,202,0.35170736650116524,0.3333333333333333,-1
stigmergy,0.75,203,0.34529966534834194,0.26666666666666666,-1
stigmergy,0.75,204,0.29877244597747793,0.1,-1
stigmergy,0.75,205,0.34902119890455424,0.4,-1
stigmergy,0.75,206,0.30836289913836795,0.3333333333333333,-1
stigmergy,0.75,207,0.23842334583037794,0.36666666666666664,-1
stigmergy,0.75,208,0.266342353298875,0.2,-1
stigmergy,0.75,209,0.33934359805510533,0.3,-1
